household_type_id,ami_percentile,age_group,cost_burdened_30,cost_burdened_50,OWNERSHP,OWNERSHPD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
More than one adult with children,0.01,Under 18,TRUE,TRUE,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,18-24,TRUE,TRUE,1,12,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,18-24,TRUE,TRUE,2,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,18-24,TRUE,TRUE,2,21,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,18-24,TRUE,TRUE,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA
More than one adult with children,0.01,25-44,TRUE,TRUE,1,13,84,NA,NA,1318,NA,NA,NA,NA,16,NA,NA,309,NA,NA,91,38,106,NA,235,72,NA,87,149
More than one adult with children,0.01,25-44,TRUE,TRUE,2,22,69,213,NA,538,NA,78,366,89,273,210,NA,NA,48,126,28,611,152,NA,225,158,142,NA,605
More than one adult with children,0.01,25-44,TRUE,TRUE,1,12,NA,652,706,NA,NA,NA,NA,NA,91,NA,NA,NA,79,NA,228,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,25-44,TRUE,TRUE,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,45-64,TRUE,TRUE,2,22,41,NA,NA,499,NA,NA,NA,NA,NA,73,NA,NA,NA,70,100,99,NA,NA,184,NA,498,NA,NA
More than one adult with children,0.01,45-64,TRUE,TRUE,1,12,10,NA,NA,NA,193,NA,NA,NA,NA,98,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,341,NA,NA
More than one adult with children,0.01,45-64,TRUE,TRUE,1,13,69,NA,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,127
More than one adult with children,0.01,65 and over,TRUE,TRUE,1,12,NA,NA,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with children,0.01,65 and over,TRUE,TRUE,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
More than one adult with children,0.01,65 and over,TRUE,TRUE,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
More than one adult with no children,0.01,Under 18,TRUE,TRUE,2,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with no children,0.01,Under 18,TRUE,TRUE,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with no children,0.01,Under 18,TRUE,TRUE,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
More than one adult with no children,0.01,18-24,TRUE,TRUE,2,22,82,NA,NA,NA,NA,208,70,NA,NA,58,58,265,NA,110,340,NA,54,NA,312,NA,304,236,41
More than one adult with no children,0.01,18-24,FALSE,FALSE,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA
More than one adult with no children,0.01,18-24,TRUE,TRUE,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,112,NA
More than one adult with no children,0.01,25-44,TRUE,TRUE,2,22,99,549,NA,581,915,108,97,NA,36,NA,NA,93,301,171,904,NA,87,64,86,NA,NA,268,476
More than one adult with no children,0.01,25-44,TRUE,TRUE,1,13,NA,619,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with no children,0.01,25-44,TRUE,TRUE,1,12,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
More than one adult with no children,0.01,25-44,TRUE,TRUE,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,NA
